loss,acc,time
2.4207890353644617,0.1,126.35648822784424
2.167145946155341,0.1509,129.8038079738617
1.7889857596863572,0.3058,130.65707874298096
1.555193702252909,0.4208,128.66480827331543
1.339290803613754,0.5276,131.41652154922485
1.1112225920247574,0.6146,133.94360446929932
0.9954412018719573,0.6555,129.22723770141602
0.9211652299847466,0.6836,129.22196102142334
0.8456637972650437,0.7188,137.92739486694336
0.8225191392647192,0.7284,125.75891900062561
0.8048919751621283,0.7456,128.8457474708557
0.7907761567221663,0.7527,131.17092895507812
0.7731458768486595,0.7622,131.6928894519806
0.7650485244421913,0.7694,131.1862347126007
0.7834852751546775,0.7743,132.54278922080994
0.76730176106619,0.7822,127.65474653244019
0.7653438697893399,0.785,131.87920808792114
0.7693120877678021,0.7891,130.1330440044403
0.7528738226182163,0.787,130.09819722175598
0.7805984627705412,0.7948,128.91169786453247
