loss,acc,time
2.447188032320894,0.1,142.39935970306396
2.2386404633902894,0.136,150.07928490638733
1.8546658396340026,0.2691,129.67058682441711
1.5764927163291662,0.398,139.4400293827057
1.3531967388174404,0.5217,148.19794130325317
1.1633742954403448,0.6046,138.67299461364746
1.0248820800750782,0.6457,132.6958839893341
0.9457753234016247,0.6769,142.11338567733765
0.8802316908638317,0.7053,151.44755005836487
0.8208020327571101,0.7271,146.12901782989502
0.7931163752802645,0.7437,132.87855529785156
0.7976777486907788,0.747,130.18431401252747
0.7858412618549487,0.7595,144.57659459114075
0.7704653666613582,0.7666,117.66134929656982
0.7527916097222045,0.7763,147.9797625541687
0.7474586161466452,0.7779,131.356294631958
0.7327125885616095,0.781,144.97845673561096
0.7803610179561395,0.788,131.65089583396912
0.7657981357349756,0.7897,137.9278736114502
0.7670492788378042,0.7909,125.52443432807922
